game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,home_pitcher_fip_vs_opp,away_hitters_with_history,away_lineup_avg_xwoba,away_total_abs,away_pitcher_fip_vs_opp,home_hitters_with_history,home_lineup_avg_xwoba,home_total_abs
823452,2026-06-15T22:40:00Z,MIA @ PHI,PHI,MIA,Zack Wheeler,Ryan Gusto,554430,687473,1.73,9,0.199,56,,0,,0
822724,2026-06-15T22:45:00Z,KC @ WSH,WSH,KC,Andrew Alvarez,Mitch Spence,674841,687765,,1,0.094,2,0.13,4,0.035,5
824505,2026-06-15T23:10:00Z,NYM @ CIN,CIN,NYM,Chase Burns,Tobias Myers,695505,668964,3.66,9,0.271,20,1.69,9,0.248,31
823046,2026-06-15T23:45:00Z,SD @ STL,STL,SD,Dustin May,Wandy Peralta,669160,593974,4.61,8,0.449,75,8.1,8,0.42,12
824666,2026-06-16T00:05:00Z,COL @ CHC,CHC,COL,Shota Imanaga,Michael Lorenzen,684007,547179,2.07,10,0.218,31,4.3,10,0.217,55
822887,2026-06-16T00:05:00Z,MIN @ TEX,TEX,MIN,MacKenzie Gore,Mike Paredes,669022,702474,3.56,6,0.28,14,,0,,0
824181,2026-06-16T00:10:00Z,DET @ HOU,HOU,DET,Kai-Wei Teng,Drew Anderson,678906,623454,,0,,0,1.97,5,0.404,7
825071,2026-06-16T01:40:00Z,LAA @ AZ,AZ,LAA,Ryne Nelson,Walbert Ureña,669194,700712,8.77,6,0.525,14,,4,,4
824993,2026-06-16T01:40:00Z,PIT @ ATH,ATH,PIT,J.T. Ginn,Jared Jones,669372,683003,19.1,4,0.491,5,,1,0.074,2
823938,2026-06-16T02:10:00Z,TB @ LAD,LAD,TB,Eric Lauer,Nick Martinez,641778,607259,6.78,12,0.356,61,5.59,10,0.342,86
