game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,away_hitters_with_history,away_lineup_avg_xwoba,home_hitters_with_history,home_lineup_avg_xwoba
823711,2026-05-03T16:45:00Z,TOR @ MIN,MIN,TOR,Joe Ryan,Trey Yesavage,657746,702056.0,10,0.293,1.0,0.261
824769,2026-05-03T17:35:00Z,HOU @ BOS,BOS,HOU,Ranger Suarez,Cody Bolton,624133,675989.0,10,0.432,10.0,0.258
823387,2026-05-03T17:35:00Z,CIN @ PIT,PIT,CIN,Braxton Ashcraft,Chase Burns,677952,695505.0,10,0.278,9.0,0.228
823555,2026-05-03T17:35:00Z,BAL @ NYY,NYY,BAL,Max Fried,Trey Gibson,608331,694346.0,12,0.266,0.0,
822742,2026-05-03T17:35:00Z,MIL @ WSH,WSH,MIL,Zack Littell,TBD,641793,,11,0.333,,
822987,2026-05-03T17:40:00Z,SF @ TB,TB,SF,Steven Matz,Tyler Mahle,571927,641816.0,8,0.18,7.0,0.306
823875,2026-05-03T17:40:00Z,PHI @ MIA,MIA,PHI,Chris Paddack,Jesús Luzardo,663978,666200.0,9,0.354,10.0,0.241
823065,2026-05-03T18:15:00Z,LAD @ STL,STL,LAD,Dustin May,Justin Wrobleski,669160,680736.0,5,0.258,7.0,0.283
824687,2026-05-03T18:20:00Z,AZ @ CHC,CHC,AZ,Matthew Boyd,Merrill Kelly,571510,518876.0,9,0.303,11.0,0.316
824364,2026-05-03T19:10:00Z,ATL @ COL,COL,ATL,Kyle Freeland,Spencer Strider,607536,675911.0,12,0.365,9.0,0.281
825013,2026-05-03T20:05:00Z,CLE @ ATH,ATH,CLE,Aaron Civale,Parker Messick,650644,800048.0,9,0.223,7.0,
824043,2026-05-03T20:07:00Z,NYM @ LAA,LAA,NYM,Jack Kochanowicz,Clay Holmes,686799,605280.0,2,0.362,8.0,0.185
823145,2026-05-03T20:10:00Z,KC @ SEA,SEA,KC,Luis Castillo,Kris Bubic,622491,663460.0,13,0.299,8.0,0.369
823307,2026-05-03T20:10:00Z,CWS @ SD,SD,CWS,Griffin Canning,Anthony Kay,656288,641743.0,6,0.306,4.0,0.056
824285,2026-05-03T23:20:00Z,TEX @ DET,DET,TEX,Tyler Holton,Jack Leiter,663947,683004.0,11,0.457,6.0,0.396
