game_id,game_time,matchup,home_team,away_team,home_pitcher_name,away_pitcher_name,home_pitcher_id,away_pitcher_id,home_pitcher_fip_vs_opp,away_hitters_with_history,away_lineup_avg_xwoba,away_total_abs,away_pitcher_fip_vs_opp,home_hitters_with_history,home_lineup_avg_xwoba,home_total_abs
823452,2026-06-15T22:40:00Z,MIA @ PHI,PHI,MIA,Zack Wheeler,Ryan Gusto,554430.0,687473.0,1.73,9.0,0.199,56.0,,0.0,,0.0
822724,2026-06-15T22:45:00Z,KC @ WSH,WSH,KC,Andrew Alvarez,Mitch Spence,674841.0,687765.0,,1.0,0.094,2.0,0.13,4.0,0.035,5.0
824505,2026-06-15T23:10:00Z,NYM @ CIN,CIN,NYM,Chase Burns,Tobias Myers,695505.0,668964.0,3.66,9.0,0.271,20.0,1.69,9.0,0.248,31.0
823046,2026-06-15T23:45:00Z,SD @ STL,STL,SD,Dustin May,TBD,669160.0,,4.61,8.0,0.449,75.0,,,,
824666,2026-06-16T00:05:00Z,COL @ CHC,CHC,COL,TBD,Michael Lorenzen,,547179.0,,,,,4.3,10.0,0.217,55.0
822887,2026-06-16T00:05:00Z,MIN @ TEX,TEX,MIN,MacKenzie Gore,TBD,669022.0,,2.64,7.0,0.259,24.0,,,,
824181,2026-06-16T00:10:00Z,DET @ HOU,HOU,DET,Kai-Wei Teng,Troy Melton,678906.0,675512.0,,0.0,,0.0,,3.0,0.337,2.0
825071,2026-06-16T01:40:00Z,LAA @ AZ,AZ,LAA,Ryne Nelson,Walbert Ureña,669194.0,700712.0,8.77,6.0,0.525,14.0,1.1,5.0,,5.0
824993,2026-06-16T01:40:00Z,PIT @ ATH,ATH,PIT,J.T. Ginn,Jared Jones,669372.0,683003.0,19.1,4.0,0.491,5.0,,1.0,0.074,2.0
823938,2026-06-16T02:10:00Z,TB @ LAD,LAD,TB,Eric Lauer,Nick Martinez,641778.0,607259.0,6.78,12.0,0.356,61.0,5.59,10.0,0.342,86.0
